epoch,split,step,seen,loss,roc_auc,acc,f1
1,train,10,20,0.47904072403907777,0.41,0.55,0.4
1,train,20,40,0.36354447454214095,0.4987468671679198,0.55,0.25
1,train,30,60,0.4037081774324179,0.5172413793103448,0.5166666666666667,0.2564102564102564
1,train,40,80,0.5273818224668503,0.484677923702314,0.5125,0.23529411764705882
1,train,50,100,0.4281637281179428,0.46518607442977195,0.49,0.19047619047619047
1,train,60,120,0.37133181989192965,0.4629063628785774,0.49166666666666664,0.1643835616438356
1,train,70,140,0.3717357099056244,0.4661155337824046,0.4928571428571429,0.14457831325301204
1,train,80,160,0.40054675936698914,0.46671365914786966,0.475,0.125
1,train,90,180,0.3823542982339859,0.45408478556420717,0.48333333333333334,0.11428571428571428
1,train,100,200,0.36791192293167113,0.4532312925170068,0.49,0.10526315789473684
1,train,110,220,0.3430750578641891,0.46425619834710746,0.5,0.09836065573770492
1,train,120,240,0.4122416615486145,0.4626362941870963,0.49583333333333335,0.09022556390977443
1,train,130,260,0.371560326218605,0.4668323569441979,0.49615384615384617,0.08391608391608392
1,train,140,280,0.361802813410759,0.4567258624209022,0.5071428571428571,0.08
1,train,150,300,0.36486743986606596,0.4622377311522048,0.5066666666666667,0.075
1,train,160,320,0.38764904588460924,0.46642578125,0.5,0.06976744186046512
1,train,170,340,0.38603034019470217,0.46555244126094336,0.5,0.06593406593406594
1,train,180,360,0.36718022227287295,0.46653907889862944,0.5027777777777778,0.06282722513089005
1,train,190,380,0.3402978956699371,0.4753076155636848,0.5078947368421053,0.06030150753768844
1,train,200,400,0.3393268078565598,0.48619136960600373,0.51,0.057692307692307696
1,train,210,420,0.3309987485408783,0.4959365281151392,0.5142857142857142,0.05555555555555555
1,train,220,440,0.32330918312072754,0.5037577639751553,0.5204545454545455,0.053811659192825115
1,train,230,460,0.32345483303070066,0.5115437106679809,0.5239130434782608,0.05194805194805195
1,train,240,480,0.46810676008462904,0.5000260783393313,0.5166666666666667,0.04918032786885246
1,train,250,500,0.3852023631334305,0.5025706323275033,0.514,0.047058823529411764
1,train,260,520,0.38592352271080016,0.5052182795221388,0.5115384615384615,0.045112781954887216
1,train,270,540,0.3511655360460281,0.5094782501269715,0.5111111111111111,0.043478260869565216
1,train,280,560,0.33193123042583467,0.5175334456699346,0.5125,0.042105263157894736
1,train,290,580,0.40093494951725006,0.5171119623144271,0.5086206896551724,0.04040404040404041
